27-September-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer Skills Survey (ESS) 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table T41/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of vacancy situation (employer base),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Enterprise M3,Black Country,Buckinghamshire Thames Valley,Cheshire and Warrington,Coast to Capital,Cornwall and Isles of Scilly,Coventry and Warwickshire,Cumbria,Derby Derbyshire Nottingham and Nottinghamshire,Dorset,Leeds City Region,Gloucestershire,Greater Birmingham and Solihull,Greater Cambridge Greater Peterborough,Greater Lincolnshire,Greater Manchester,Heart of the South West,Hertfordshire,Humber,Lancashire,South East,Leicester and Leicestershire,Liverpool City Region,London,New Anglia,North Eastern,Northamptonshire,Oxfordshire,Sheffield City Region,Solent,South East Midlands,Stoke-on-Trent and Staffordshire,Swindon and Wiltshire,Tees Valley,Thames Valley Berkshire,The Marches,West of England,Worcestershire,York North Yorkshire and East Riding
Unweighted row,71527,2161,1300,656,1402,2154,995,1127,905,3011,1176,3943,848,2437,2366,1633,2755,2691,1815,1332,1873,4764,1502,1328,10269,2280,3819,0,769,2242,1053,2371,1328,791,1376,952,1259,1491,1082,2315
Total,1602193,62412,25714,18918,29471,54544,19974,25224,19092,57202,24485,78965,21125,52206,49450,30516,69857,57482,37348,25011,40330,117062,28895,32611,289814,49331,46039,0,22576,46312,25216,58670,29702,21287,14650,28337,23858,32893,17879,41551
Have at least one vacancy,320596,13654,5187,4522,6834,11192,3305,7435,3770,10648,4737,17503,5932,11027,11598,4932,14284,11251,8422,4135,8079,23759,5021,7626,65012,11330,7482,**,5388,8319,6546,13613,5826,4661,2205,6895,3526,8250,3642,7372
,20%,22%,20%,24%,23%,21%,17%,29%,20%,19%,19%,22%,28%,21%,23%,16%,20%,20%,23%,17%,20%,20%,17%,23%,22%,23%,16%,**,24%,18%,26%,23%,20%,22%,15%,24%,15%,25%,20%,18%
Have at least one vacancy that is hard-to-fill,128243,5673,2330,2076,2884,4387,1830,3730,2047,3660,2218,5781,3265,4629,5913,1666,6080,5842,4217,1455,3291,10444,1859,3277,18627,5423,2783,**,2423,3006,2221,4888,2555,2320,835,2614,1638,4114,1607,3100
,8%,9%,9%,11%,10%,8%,9%,15%,11%,6%,9%,7%,15%,9%,12%,5%,9%,10%,11%,6%,8%,9%,6%,10%,6%,11%,6%,**,11%,6%,9%,8%,9%,11%,6%,9%,7%,13%,9%,7%
Have a skills shortage vacancy (prompted or unprompted),95249,3763,1882,1504,2015,3217,1244,3154,1475,2735,1596,4556,1879,4161,3985,1240,4746,3768,3184,1274,2108,7549,1289,2486,14431,4141,2161,**,1793,2398,1769,3489,1961,1813,693,2111,1102,3163,1276,2348
,6%,6%,7%,8%,7%,6%,6%,13%,8%,5%,7%,6%,9%,8%,8%,4%,7%,7%,9%,5%,5%,6%,4%,8%,5%,8%,5%,**,8%,5%,7%,6%,7%,9%,5%,7%,5%,10%,7%,6%
Average vacancies per establishment with vacancies,2.7,2.3,3,2.4,2.8,2.8,2,2.8,2.4,2.2,2.5,3.2,1.9,3.2,3,2.3,2.3,2.4,2.5,2.1,2.2,2.6,2.2,2.5,2.6,2.3,2.8,**,3.2,2.6,2.4,2.5,3,2.4,2.4,3.6,2.3,2.5,3,2.2
Tables produced by IFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
