"Occupations with highest and lowest forecast growth, 2017-2027",,,,,,,
Source:,https://warwick.ac.uk/fac/soc/ier/wf7downloads/,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Black Country LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Textiles, printing and other skilled trades",,,
,4),Customer service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Sales occupations,,,
,,,,,,,
,Greater Birmingham and Solihull LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Corporate managers and directors,4),"Skilled metal, electrical and electronic trades",,,
,5),Health professionals,5),Sales occupations,,,
,,,,,,,
,Buckinghamshire Thames Valley LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Teaching and educational professionals,2),"Process, plant and machine operatives",,,
,3),Customer service occupations,3),"Skilled metal, electrical and electronic trades",,,
,4),Health and social care associate professionals,4),"Textiles, printing and other skilled trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,Coast to Capital LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Teaching and educational professionals,2),"Process, plant and machine operatives",,,
,3),Corporate managers and directors,3),"Skilled metal, electrical and electronic trades",,,
,4),Other managers and proprietors,4),"Textiles, printing and other skilled trades",,,
,5),Health and social care associate professionals,5),Administrative occupations,,,
,,,,,,,
,Cheshire and Warrington LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Customer service occupations,3),"Skilled metal, electrical and electronic trades",,,
,4),Health professionals,4),"Textiles, printing and other skilled trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,Cornwall and Isles of Scilly LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Customer service occupations,1),Secretarial and related occupations,,,
,2),Caring personal service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Health professionals,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,Greater Cambridge and Greater Peterborough LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Customer service occupations,4),"Textiles, printing and other skilled trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,Cumbria LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Corporate managers and directors,4),"Skilled metal, electrical and electronic trades",,,
,5),"Business, media and public service professionals",5),Elementary trades and related occupations,,,
,,,,,,,
,Coventry and Warwickshire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Corporate managers and directors,4),"Skilled metal, electrical and electronic trades",,,
,5),Health professionals,5),Sales occupations,,,
,,,,,,,
,"Derby, Derbyshire, Nottingham and Nottinghamshire LEP",,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Corporate managers and directors,4),"Skilled metal, electrical and electronic trades",,,
,5),"Business, media and public service professionals",5),Administrative occupations,,,
,,,,,,,
,Dorset LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Textiles, printing and other skilled trades",,,
,4),Customer service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,Enterprise M3 LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Teaching and educational professionals,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Health professionals,4),"Textiles, printing and other skilled trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,Gloucestershire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Textiles, printing and other skilled trades",,,
,4),Customer service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,Greater Manchester LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Corporate managers and directors,4),"Textiles, printing and other skilled trades",,,
,5),"Business, media and public service professionals",5),Protective service occupations,,,
,,,,,,,
,Hertfordshire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health professionals,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Skilled metal, electrical and electronic trades",,,
,4),Customer service occupations,4),"Textiles, printing and other skilled trades",,,
,5),Teaching and educational professionals,5),Administrative occupations,,,
,,,,,,,
,Heart of the South West LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Textiles, printing and other skilled trades",,,
,4),Customer service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Administrative occupations,,,
,,,,,,,
,Humber LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Health and social care associate professionals,2),"Process, plant and machine operatives",,,
,3),Health professionals,3),"Textiles, printing and other skilled trades",,,
,4),Customer service occupations,4),"Skilled metal, electrical and electronic trades",,,
,5),"Business, media and public service professionals",5),Sales occupations,,,
,,,,,,,
,Lancashire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Corporate managers and directors,4),"Skilled metal, electrical and electronic trades",,,
,5),Health professionals,5),Administrative occupations,,,
,,,,,,,
,Leeds City Region LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
,3),Health and social care associate professionals,3),"Textiles, printing and other skilled trades",,,
,4),Health professionals,4),"Skilled metal, electrical and electronic trades",,,
,5),Corporate managers and directors,5),Sales occupations,,,
,,,,,,,
,Greater Lincolnshire LEP,,,,,,
,Occupations with highest forecast growth (2017-2027),,Occupations with lowest forecast growth (2017-2027),,,,
,1),Caring personal service occupations,1),Secretarial and related occupations,,,
,2),Customer service occupations,2),"Process, plant and machine operatives",,,
