"Sectors with highest and lowest forecast growth, 2017-2027",,,,,,
Source:,https://warwick.ac.uk/fac/soc/ier/wf7downloads/,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Black Country LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Rest of manufacturing,,
,2),Arts and entertainment,2),Agriculture,,
,3),Support services,3),Food drink and tobacco,,
,4),Professional services,4),Finance and insurance,,
,5),Real estate,5),Engineering,,
,,,,,,
,Greater Birmingham and Solihull LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Rest of manufacturing,,
,2),Health and social work,2),Agriculture,,
,3),Support services,3),Food drink and tobacco,,
,4),Accommodation and food,4),Finance and insurance,,
,5),Real estate,5),Wholesale and retail trade,,
,,,,,,
,Buckinghamshire Thames Valley LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Real estate,1),Engineering,,
,2),Support services,2),Rest of manufacturing,,
,3),Arts and entertainment,3),Food drink and tobacco,,
,4),Health and social work,4),Finance and insurance,,
,5),Professional services,5),Transport and storage,,
,,,,,,
,Coast to Capital LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Engineering,,
,2),Professional services,2),Rest of manufacturing,,
,3),Information technology,3),Food drink and tobacco,,
,4),Support services,4),Agriculture,,
,5),Water and sewerage,5),Finance and insurance,,
,,,,,,
,Cheshire and Warrington LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Real estate,1),Agriculture,,
,2),Health and social work,2),Rest of manufacturing,,
,3),Arts and entertainment,3),Food drink and tobacco,,
,4),Information technology,4),Transport and storage,,
,5),Professional services,5),Education,,
,,,,,,
,Cornwall and Isles of Scilly LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Food drink and tobacco,,
,2),Support services,2),Engineering,,
,3),Health and social work,3),Public admin. and defence,,
,4),Professional services,4),Rest of manufacturing,,
,5),Other services,5),Transport and storage,,
,,,,,,
,Greater Cambridge and Greater Peterborough,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Agriculture,,
,2),Water and sewerage,2),Rest of manufacturing,,
,3),Arts and entertainment,3),Finance and insurance,,
,4),Support services,4),Media,,
,5),Professional services,5),Engineering,,
,,,,,,
,Cumbria LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Food drink and tobacco,,
,2),Information technology,2),Agriculture,,
,3),Professional services,3),Rest of manufacturing,,
,4),Health and social work,4),Transport and storage,,
,5),Real estate,5),Education,,
,,,,,,
,Coventry and Warwickshire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Rest of manufacturing,,
,2),Support services,2),Food drink and tobacco,,
,3),Health and social work,3),Agriculture,,
,4),Professional services,4),Finance and insurance,,
,5),Information technology,5),Public admin. and defence,,
,,,,,,
,"Derby, Derbyshire, Nottingham and Nottinghamshire LEP",,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Agriculture,,
,2),Health and social work,2),Engineering,,
,3),Support services,3),Real estate,,
,4),Water and sewerage,4),Finance and insurance,,
,5),Professional services,5),Rest of manufacturing,,
,,,,,,
,Dorset LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Food drink and tobacco,,
,2),Support services,2),Engineering,,
,3),Arts and entertainment,3),Public admin. and defence,,
,4),Information technology,4),Agriculture,,
,5),Water and sewerage,5),Media,,
,,,,,,
,Enterprise M3 LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Engineering,,
,2),Arts and entertainment,2),Rest of manufacturing,,
,3),Water and sewerage,3),Food drink and tobacco,,
,4),Professional services,4),Public admin. and defence,,
,5),Real estate,5),Finance and insurance,,
,,,,,,
,Gloucestershire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Food drink and tobacco,,
,2),Arts and entertainment,2),Rest of manufacturing,,
,3),Information technology,3),Engineering,,
,4),Professional services,4),Agriculture,,
,5),Other services,5),Public admin. and defence,,
,,,,,,
,Greater Manchester LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Real estate,1),Food drink and tobacco,,
,2),Arts and entertainment,2),Rest of manufacturing,,
,3),Information technology,3),Agriculture,,
,4),Professional services,4),Engineering,,
,5),Health and social work,5),Electricity and gas,,
,,,,,,
,Hertfordshire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Agriculture,,
,2),Real estate,2),Rest of manufacturing,,
,3),Arts and entertainment,3),Finance and insurance,,
,4),Professional services,4),Food drink and tobacco,,
,5),Other services,5),Engineering,,
,,,,,,
,Heart of the South West LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Food drink and tobacco,,
,2),Professional services,2),Public admin. and defence,,
,3),Arts and entertainment,3),Engineering,,
,4),Information technology,4),Agriculture,,
,5),Support services,5),Media,,
,,,,,,
,Humber LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Food drink and tobacco,,
,2),Arts and entertainment,2),Rest of manufacturing,,
,3),Professional services,3),Agriculture,,
,4),Support services,4),Accommodation and food,,
,5),Transport and storage,5),Education,,
,,,,,,
,Lancashire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Information technology,1),Rest of manufacturing,,
,2),Real estate,2),Food drink and tobacco,,
,3),Arts and entertainment,3),Agriculture,,
,4),Health and social work,4),Transport and storage,,
,5),Professional services,5),Education,,
,,,,,,
,Leeds City Region LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Health and social work,1),Food drink and tobacco,,
,2),Arts and entertainment,2),Rest of manufacturing,,
,3),Professional services,3),Agriculture,,
,4),Engineering,4),Education,,
,5),Support services,5),Electricity and gas,,
,,,,,,
,Greater Lincolnshire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Agriculture,,
,2),Health and social work,2),Rest of manufacturing,,
,3),Support services,3),Engineering,,
,4),Water and sewerage,4),Finance and insurance,,
,5),Professional services,5),Food drink and tobacco,,
,,,,,,
,Leicester and Leicestershire LEP,,,,,
,Sectors with highest forecast growth (2017-2027),,Sectors with lowest forecast growth (2017-2027),,,
,1),Arts and entertainment,1),Agriculture,,
