,England Total,Black Country,Buckinghamshire Thames Valley,Cheshire and Warrington,Coast to Capital,Cornwall and Isles of Scilly,Coventry and Warwickshire,Cumbria,"Derby, Derbyshire, Nottingham and Nottinghamshire",Dorset,Enterprise M3,Gloucestershire,Greater Birmingham and Solihull,Greater Cambridge Greater Peterborough,Greater Lincolnshire,Greater Manchester,Heart of the South West,Hertfordshire,Humber,Lancashire,Leeds City Region,Leicester and Leicestershire,Liverpool City Region,London,New Anglia,North Eastern,Northamptonshire,Oxfordshire,Sheffield City Region,Solent,South East,South East Midlands,Stoke-on-Trent and Staffordshire,Swindon and Wiltshire,Tees Valley,Thames Valley Berkshire,The Marches,West of England,Worcestershire,"York, North Yorkshire and East Riding"
Unweighted row,70217.00,1079.00,639.00,1312.00,2141.00,979.00,1105.00,1053.00,2913.00,1064.00,1848.00,986.00,1970.00,2637.00,1716.00,2528.00,2761.00,1380.00,1261.00,1869,3958,1358,1378,10117,2695,4039,0,897,2229,1303,4672,2447,1242,899,1263,878,1165,1341,844,2227
Total (establishments),1683072.00,26528.00,19794.00,30191.00,62011.00,20195.00,26831.00,19157.00,57314.00,25082.00,53289.00,21986.00,55260.00,56075.00,30958.00,75610.00,58085.00,42758.00,25511.00,41454,83684,29938,33561,313042,50290,47080,0,23211,45555,31329,122417,63491,31109,21832,15068,29704,24169,34061,19232,42498
Total number of staff,25480720.00,431578.00,225871.00,481260.00,858839.00,221438.00,444351.00,238717.00,917199.00,328816.00,685937.00,286476.00,926811.00,812056.00,432609.00,1286778.00,725204.00,629006.00,419530.00,624882,1381398,471277,620846,5055316,678974,786725,**,361502,742544,519004,1553566,937807,470420,315021,257861,511916,297869,578970,249140,512803
Establishments with any vacancies,0.17,0.12,0.19,0.19,0.18,0.15,0.20,0.15,0.16,0.15,0.20,0.18,0.18,0.19,0.14,0.17,0.17,0.18,0.13,16%,18%,16%,18%,19%,16%,15%,**,23%,15%,18%,17%,19%,15%,20%,17%,19%,13%,23%,14%,17%
Have at least one vacancy that is hard to fill,0.08,0.05,0.08,0.10,0.09,0.07,0.09,0.08,0.06,0.09,0.09,0.10,0.06,0.09,0.07,0.08,0.09,0.09,0.06,8%,8%,6%,8%,7%,8%,6%,**,13%,6%,8%,7%,9%,7%,11%,6%,9%,6%,11%,6%,9%
Have a skills shortage vacancy (prompted or unprompted),0.06,0.03,0.07,0.07,0.06,0.04,0.06,0.05,0.04,0.07,0.06,0.06,0.05,0.06,0.05,0.07,0.06,0.06,0.05,6%,6%,5%,6%,5%,5%,4%,**,8%,4%,6%,5%,6%,5%,7%,4%,6%,5%,7%,5%,6%
Number of vacancies,811703.00,8807.00,10585.00,15834.00,32183.00,6360.00,13553.00,7186.00,20764.00,9954.00,26498.00,10597.00,24999.00,31201.00,11872.00,42107.00,21473.00,21572.00,8812.00,18834,41325,20553,18295,200897,18575,20851,**,17672,20432,15363,48748,31978,15153,10161,6424,18074,7359,22351,7056,18584
Number of skill-shortage vacancies,199088.00,2199.00,3002.00,4870.00,7378.00,1274.00,2839.00,2007.00,4107.00,3305.00,7079.00,2585.00,6280.00,9009.00,2855.00,9666.00,6601.00,4818.00,1995.00,6708,9138,4164,3830,43002,4169,5042,**,4115,3833,4315,12346,8865,3855,2761,1501,4253,2260,5562,2357,3550
Number of vacancies as a % of all employment,0.03,0.02,0.05,0.03,0.04,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,3%,3%,4%,3%,4%,3%,3%,**,5%,3%,3%,3%,3%,3%,3%,2%,4%,2%,4%,3%,4%
% of all vacancies which are SSVs,0.25,0.25,0.28,0.31,0.23,0.20,0.21,0.28,0.20,0.33,0.27,0.24,0.25,0.29,0.24,0.23,0.31,0.22,0.23,36%,22%,20%,21%,21%,22%,24%,**,23%,19%,28%,25%,28%,25%,27%,23%,24%,31%,25%,33%,19%
Skills gaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of establishments with any staff not fully proficient,0.13,0.10,0.12,0.14,0.13,0.15,0.11,0.15,0.16,0.15,0.14,0.16,0.12,0.15,0.14,0.15,0.16,0.14,0.14,14%,14%,16%,16%,11%,16%,14%,**,15%,15%,15%,15%,16%,11%,19%,14%,13%,11%,14%,12%,13%
Number of skills gaps ,1167961.00,12771.00,8894.00,24260.00,41893.00,10581.00,19258.00,10085.00,44305.00,16857.00,32617.00,15340.00,32719.00,46946.00,22519.00,65373.00,36340.00,35380.00,18924.00,35208,65373,28762,36681,182710,33016,31767,**,17804,31508,24974,74069,46465,14551,14854,10007,23056,14353,23484,10275,22229
Number of skills gaps as a % of employment,0.05,0.03,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.06,0.05,0.05,0.05,0.06,0.05,6%,5%,6%,6%,4%,5%,4%,**,5%,4%,5%,5%,5%,3%,5%,4%,5%,5%,4%,4%,4%
% of establishments training staff over the last 12 months,0.61,0.57,0.57,0.66,0.60,0.64,0.64,0.62,0.62,0.60,0.62,0.64,0.60,0.65,0.66,0.64,0.63,0.59,0.61,63%,62%,61%,64%,59%,64%,60%,**,67%,63%,64%,63%,60%,62%,66%,61%,66%,62%,64%,62%,61%
% of establishments providing off-the-job training in the last 12 months,0.43,0.38,0.40,0.46,0.42,0.46,0.43,0.45,0.43,0.41,0.44,0.44,0.41,0.45,0.46,0.45,0.44,0.42,0.43,44%,45%,40%,46%,43%,45%,44%,**,50%,43%,44%,43%,44%,44%,46%,45%,43%,46%,46%,45%,43%
% of establishments providing on-the-job training in the last 12 months,0.49,0.47,0.44,0.55,0.49,0.49,0.53,0.47,0.51,0.47,0.48,0.52,0.49,0.52,0.50,0.52,0.51,0.48,0.49,51%,49%,49%,53%,48%,51%,50%,**,52%,50%,52%,50%,47%,50%,54%,50%,52%,48%,52%,49%,48%
% of training establishments providing online training or e-learning in the last 12 months,0.56,0.60,0.57,0.56,0.59,0.53,0.55,0.54,0.56,0.54,0.56,0.53,0.63,0.55,0.52,0.59,0.54,0.57,0.57,51%,57%,51%,59%,57%,55%,59%,**,59%,54%,61%,55%,58%,57%,57%,58%,58%,53%,60%,58%,53%
Total number trained (including modelled data),15238042.00,238103.00,134050.00,273873.00,520403.00,133397.00,250110.00,142542.00,526517.00,188261.00,404067.00,173567.00,591599.00,463636.00,261810.00,730908.00,434658.00,343320.00,255077.00,366272,852138,257343,380997,2959966,425277,485006,**,224439,455079,326606,942398,555870,312563,193464,155942,343611,168692,348033,145370,303176
Number trained as % of total staff,0.60,0.55,0.59,0.57,0.61,0.60,0.56,0.60,0.57,0.57,0.59,0.61,0.64,0.57,0.61,0.57,0.60,0.55,0.61,59%,62%,55%,61%,59%,63%,62%,**,62%,61%,63%,61%,59%,66%,61%,60%,67%,57%,60%,58%,59%
