time_period,time_identifier,geographic_level,country_code,country_name,institution_group,institution_type,breakdown_topic,breakdown,data_type,version,inst_count,cohort,overall,education,fe,ssf,sfc,other_edu,ind,appru,special,spi,edu_combo,he,appren,appl3,appl2,all_work,all_notsust,notsust,notsust_ben,only_ben,all_unknown,unknown_id,unknown
201617,Academic year,National,E92000001,England,Alternative provision,Other alternative provision,Total,Total,Number of students,Revised,143,2024,1575,1525,621,47,43,814,35,647,129,3,0,0,19,4,15,31,215,179,15,21,234,196,38
201617,Academic year,National,E92000001,England,Alternative provision,Other alternative provision,Total,Total,Percentage,Revised,143,2024,77.8,75.3,30.7,2.3,2.1,40.2,1.7,32,6.4,0.1,0,0,0.9,0.2,0.7,1.5,10.6,8.8,0.7,1,11.6,9.7,1.9
201617,Academic year,National,E92000001,England,Alternative provision,State-place funded alternative provision,Total,Total,Number of students,Revised,289,7687,3621,2956,2397,114,185,260,23,151,58,19,9,0,245,30,215,420,2629,2083,259,287,1437,1387,50
201617,Academic year,National,E92000001,England,Alternative provision,State-place funded alternative provision,Total,Total,Percentage,Revised,289,7687,47.1,38.5,31.2,1.5,2.4,3.4,0.3,2,0.8,0.2,0.1,0,3.2,0.4,2.8,5.5,34.2,27.1,3.4,3.7,18.7,18,0.7
201617,Academic year,National,E92000001,England,Alternative provision,Total,Disadvantage Status,Disadvantaged,Number of students,Revised,z,6097,2854,2427,1751,66,85,525,25,402,81,13,4,0,142,13,129,285,2084,1628,213,243,1159,1131,28
201617,Academic year,National,E92000001,England,Alternative provision,Total,Disadvantage Status,Disadvantaged,Percentage,Revised,z,6097,46.8,39.8,28.7,1.1,1.4,8.6,0.4,6.6,1.3,0.2,0.1,0,2.3,0.2,2.1,4.7,34.2,26.7,3.5,4,19,18.6,0.5
201617,Academic year,National,E92000001,England,Alternative provision,Total,Disadvantage Status,Not disadvantaged,Number of students,Revised,z,3614,2342,2054,1267,95,143,549,33,396,106,9,5,0,122,21,101,166,760,634,61,65,512,452,60
201617,Academic year,National,E92000001,England,Alternative provision,Total,Disadvantage Status,Not disadvantaged,Percentage,Revised,z,3614,64.8,56.8,35.1,2.6,4,15.2,0.9,11,2.9,0.2,0.1,0,3.4,0.6,2.8,4.6,21,17.5,1.7,1.8,14.2,12.5,1.7
201617,Academic year,National,E92000001,England,Alternative provision,Total,Sex,Female,Number of students,Revised,z,3223,1808,1564,1078,84,120,282,23,210,42,4,3,0,77,5,72,167,1018,706,141,171,397,374,23
201617,Academic year,National,E92000001,England,Alternative provision,Total,Sex,Female,Percentage,Revised,z,3223,56.1,48.5,33.4,2.6,3.7,8.7,0.7,6.5,1.3,0.1,0.1,0,2.4,0.2,2.2,5.2,31.6,21.9,4.4,5.3,12.3,11.6,0.7
201617,Academic year,National,E92000001,England,Alternative provision,Total,Sex,Male,Number of students,Revised,z,6488,3388,2917,1940,77,108,792,35,588,145,18,6,0,187,29,158,284,1826,1556,133,137,1274,1209,65
