"year","area","geographic_level","16-64 None","16-64 NVQ1","16-64 NVQ2","16-64 trade apprenticeships","16-64 NVQ3","16-64 NVQ4","16-64 Other Qualifications","16-19 None","16-19 NVQ1","16-19 NVQ2","16-19 trade apprenticeships","16-19 NVQ3","16-19 NVQ4","16-19 Other Qualifications","20-24 None","20-24 NVQ1","20-24 NVQ2","20-24 trade apprenticeships","20-24 NVQ3","20-24 NVQ4","20-24 Other Qualifications","25-29 None","25-29 NVQ1","25-29 NVQ2","25-29 trade apprenticeships","25-29 NVQ3","25-29 NVQ4","25-29 Other Qualifications","30-39 None","30-39 NVQ1","30-39 NVQ2","30-39 trade apprenticeships","30-39 NVQ3","30-39 NVQ4","30-39 Other Qualifications","40-49 None","40-49 NVQ1","40-49 NVQ2","40-49 trade apprenticeships","40-49 NVQ3","40-49 NVQ4","40-49 Other Qualifications","50-64 None","50-64 NVQ1","50-64 NVQ2","50-64 trade apprenticeships","50-64 NVQ3","50-64 NVQ4","50-64 Other Qualifications"
2019,"Greater London","LSIP","406800","392600","659300","60100","743000","3280300","503100","55400","38700","156800","0","77300","1300","3800","5000","21400","56800","0","170500","237000","10700","17200","23500","38100","0","67500","521400","41000","62800","57400","112600","8000","146900","1095600","140400","80200","82000","105700","4500","110500","726400","135900","144200","128900","158900","16200","155400","686400","136200"
2019,"Greater Manchester","LSIP","166700","180500","301900","53900","299500","651300","125300","20500","15900","61400","0","18200","0","600","6100","10300","35900","2600","66400","51900","8000","10300","15200","28400","4600","38600","99800","13900","26600","30500","49900","10300","63200","190800","27300","31000","35500","49200","8000","47900","144900","31000","70000","71100","76800","21200","65400","161600","39100"
2019,"Heart of the South-West","LSIP","60400","114300","174300","38800","212700","356700","50000","6600","6800","24900","0","14000","0","0","0","1400","16100","0","46500","20800","1200","800","6200","13800","800","23000","40900","2200","1800","15100","21400","1400","32400","74200","4200","5100","18000","24800","3100","28000","93800","4400","23600","45400","54500","15700","53300","123200","22800"
2019,"Hertfordshire","LSIP","48600","61800","137800","17000","111800","328900","34600","1700","0","19500","0","10400","0","0","0","4400","6800","0","15100","11700","0","0","0","2300","0","2000","43600","0","4000","6300","22100","0","20400","89500","0","5900","9600","24500","0","19800","78700","6400","12100","18900","42700","3300","28200","96600","5600"
2019,"Hull and East Yorkshire","LSIP","31600","44100","61500","13800","68400","115300","26100","4600","4500","8600","0","4200","0","0","0","3700","5900","1800","12400","8900","0","2300","3400","8300","1100","6700","12400","2300","5900","5800","10300","1500","14500","25300","4600","4400","7400","10500","2500","11700","28500","7700","13300","18800","17900","5700","18800","39300","9400"
2019,"Kent and Medway","LSIP","88100","125400","194100","26700","206100","402900","70500","4000","5000","34100","0","11000","0","0","1100","3900","12900","1200","39600","11700","0","2900","0","8500","0","14800","46000","0","6600","11100","35000","1500","41000","90800","14900","7200","20800","24700","2900","33900","111300","5300","36200","59700","57200","9700","40000","129500","13800"
2019,"Lancashire","LSIP","76900","108700","169000","22500","165100","302100","43200","4300","5400","29800","0","6300","0","0","2300","2100","5300","4300","25400","18900","2000","2900","2300","7800","0","15900","38900","600","5700","15900","27700","500","33200","71800","7700","16000","15200","30700","0","25800","67700","2400","29400","47100","49200","4400","44100","99200","12900"
2019,"Leicester and Leicestershire","LSIP","58500","61500","87100","17700","137800","250600","42000","3100","3000","15100","0","11800","0","1600","1700","3500","4800","0","30900","24700","0","2000","6100","8000","0","11000","33600","1100","12100","6200","12100","0","21400","62900","6900","9300","9000","9700","0","24500","57300","9800","24100","21900","27800","8600","31700","68300","15400"
2019,"Liverpool City Region","LSIP","94200","90400","183800","23700","168700","338000","66800","11600","7900","31300","0","10700","700","0","1200","8000","22100","500","33700","29000","6200","9000","7500","14900","0","19000","48500","6200","13400","13500","33600","3600","32500","87000","14700","16900","12800","29300","2300","27800","80600","12300","40100","40100","52700","11300","45100","91300","23800"
2019,"Norfolk and Suffolk ","LSIP","65000","145800","182200","25300","179900","302600","56300","1400","9700","22700","0","5500","1400","0","0","4900","18200","0","22400","15400","0","2800","7500","11800","0","23800","27700","0","8100","22000","37200","1400","33200","65600","9000","8900","27800","31700","1000","28800","71500","9200","25600","58700","50200","8500","51900","114600","17000"
2019,"North East","LSIP","65600","79700","154500","30300","130700","215500","39900","7000","7300","19400","900","7600","0","2100","4000","5600","20800","2800","22100","16800","0","3300","7600","12800","2000","17100","32000","3500","7600","15400","28200","4500","27000","50500","6900","6900","14900","21200","6500","23400","50300","7800","35100","28900","52200","11600","33600","65600","16200"
2019,"North of Tyne","LSIP","42800","56000","86900","18400","90900","186000","29300","5400","5400","14900","600","8700","0","800","3200","4900","7100","0","24200","17600","900","1300","4900","7100","0","8600","25900","1600","6700","6700","17400","1900","14300","48700","4400","7300","11000","14000","2900","15600","39400","8100","18300","23100","26400","9700","19200","54000","10700"
2019,"Oxfordshire","LSIP","20400","35000","60200","13000","63900","213300","13000","2500","1400","11600","0","4600","0","0","0","2200","6400","0","14100","7400","0","0","0","8600","0","5900","23500","0","1200","6300","4300","1500","10800","62000","0","1000","5800","3200","0","14100","53900","2400","7300","12900","18900","0","12200","62700","3600"
2019,"Solent","LSIP","48600","90300","122700","23100","159500","280800","41200","8300","6100","20300","0","12700","700","800","900","4000","10800","0","30200","18700","2600","0","3500","9200","2100","12600","39700","1900","5000","14100","18200","500","27900","64400","5600","5600","15900","23800","2700","25100","64900","8600","19500","37000","35400","10900","37600","88500","14600"
2019,"South East Midlands","LSIP","73300","114500","176200","23800","175000","387000","98700","10300","7600","36000","0","16400","0","600","1100","8000","16600","2000","23300","27000","5200","4400","2900","9400","0","24000","40200","11900","11100","17500","34600","1600","37500","106300","29800","11700","21600","31000","5100","31200","96100","21400","29200","53000","46800","8800","41700","115600","25400"
2019,"South Yorkshire","LSIP","72000","90600","143600","30200","175300","307700","59400","10900","9600","26200","0","12900","0","1400","5100","8400","17300","0","34100","29300","3200","6400","8400","11100","2400","24000","42600","5800","11600","12700","27300","6300","33400","78000","10100","9700","17500","21100","5600","26400","74000","12300","26600","34100","40400","12200","44600","82900","23700"
2019,"Stoke-on-Trent and Staffordshire","LSIP","50200","66900","129900","29500","115800","241900","46800","6300","1600","17700","0","3100","0","0","1400","2100","2700","900","17800","17400","0","1400","2800","7400","1400","6600","26900","1800","4600","10100","22300","2300","23500","54000","7500","2900","9900","26900","3300","22100","53700","7600","16900","22400","43200","2400","29800","83400","14000"
2019,"Swindon and Wiltshire","LSIP","24900","46700","76900","15600","76000","160000","29700","3100","3400","13200","0","7400","0","0","2000","4300","6500","1000","8900","7200","0","900","4000","5500","1900","10800","12400","2400","4400","7500","13100","2400","14100","39600","6500","5200","9700","12600","2600","15400","40400","8400","8700","17600","25900","7000","19400","60200","10600"
2019,"Tees Valley","LSIP","44900","48900","75900","15100","76100","120800","26500","6100","4600","13600","0","4000","0","0","2300","4200","6100","600","14200","9300","1000","2000","4100","7300","600","8600","16900","2200","5900","9300","13900","600","15000","28800","6300","8300","7300","12400","2000","15800","27600","5100","18800","19300","22600","7100","18400","37600","9600"
2019,"Thames Valley Berkshire","LSIP","29600","48500","83200","11300","90300","273000","36200","5700","3700","19500","0","7200","0","0","500","3600","6000","600","17400","16000","0","2300","1800","5800","0","10600","27300","3500","3100","8300","12400","600","16200","78300","9900","3400","10400","13400","600","14900","77300","9400","10900","17800","25700","5700","23300","73600","11500"
2019,"The Marches","LSIP","24900","45000","61900","16100","80200","141900","30600","2400","4000","9700","0","6600","0","0","1100","3300","6200","800","11400","6500","1400","1500","2800","6400","2400","8400","11400","2300","5500","5700","8900","3100","16500","31600","7300","4000","9200","9200","2200","14400","35700","7800","9500","19600","21500","6300","22800","56000","9800"
2019,"West Midlands and Warwickshire","LSIP","266000","225300","374300","41500","364300","714200","184700","26400","27400","64800","900","29900","1500","3300","16000","19000","41200","2400","78600","64500","15400","23600","16000","35300","5300","34600","112500","24200","49700","33600","70300","1400","72400","196200","39400","55900","45700","61100","4300","58500","149000","40500","87200","77800","97300","11200","83600","187100","52000"
2019,"West of England and North Somerset","LSIP","32100","76700","96300","20700","143300","334000","33000","7400","7600","18200","0","12400","0","0","0","7400","8400","1900","36100","29700","1900","0","5100","11400","600","13600","46400","2700","3600","11800","16000","2700","26300","93400","9300","4300","12200","15000","5100","22300","75000","4800","11400","32400","27400","6500","32400","88900","11800"
2019,"West Yorkshire","LSIP","136800","176200","233000","47300","248600","479700","125100","13400","17800","46000","0","21300","1100","5900","9300","10600","23800","2000","60600","44800","9500","8100","17400","17400","2700","32100","65100","14100","25800","38100","40000","8200","45000","119600","30600","26000","33000","43200","7500","39100","111800","27200","53300","58900","62600","21200","50700","136500","36500"
2019,"Worcestershire","LSIP","25600","34500","59000","12200","69000","129100","17600","3200","0","10400","0","1400","0","0","1500","0","2400","0","13800","2200","0","1600","0","1800","0","5100","16000","1100","0","3800","8200","1300","10500","25800","5400","1100","7100","9200","1400","10300","34000","3600","11400","16600","21100","3700","20200","46900","4000"
2019,"York and North Yorkshire","LSIP","22600","54500","78700","17500","90400","198400","21600","1700","1900","13500","0","6600","0","0","700","1100","1500","0","12400","13100","0","1100","1400","500","0","8500","20000","700","700","5300","11900","1300","17500","42900","600","1800","12300","11400","1000","12000","46100","5500","9900","20400","28100","9900","21400","72600","6400"
2020,"Brighton and Hove, East Sussex, West Sussex","LSIP","46500","104800","163800","27500","191700","429800","57600","5900","3700","26500","0","8000","0","0","1900","2900","5800","0","31800","21000","0","0","0","6900","0","7900","40100","0","0","13100","15700","1000","35500","95500","5000","2100","16500","26600","1200","33100","104200","8900","15700","43400","51400","5100","50000","148300","19500"
2020,"Buckinghamshire ","LSIP","17800","31100","46800","4500","61300","147300","17000","3500","0","8500","0","7200","0","0","0","1800","5900","0","10700","12400","0","0","2400","2000","0","7300","16300","0","1900","6000","3600","1400","11500","28500","5100","2900","6700","10800","0","9700","37600","4400","8100","13100","16000","2100","14800","52300","5300"
2020,"Cambridgeshire and Peterborough","LSIP","25000","48900","91900","12900","91600","230700","23700","2800","1900","17200","0","7200","0","0","0","900","4400","0","11900","13400","1300","0","800","3800","0","8700","21500","0","1700","4600","16500","0","15700","58300","2600","1600","6000","12000","700","15100","59200","3100","6200","20900","23900","4400","22400","70300","7600"
2020,"Cheshire and Warrington","LSIP","29200","50500","92100","20300","107200","237100","16400","1000","6800","17100","0","7000","1000","0","0","2400","6000","0","13300","17200","0","0","0","6300","700","14400","23800","1000","3400","8000","13700","3100","19300","58300","1500","3400","8500","17600","0","20700","57400","1000","14700","21500","29300","10700","31400","79400","7700"
2020,"Cornwall and the Isles of Scilly","LSIP","16800","39400","55800","12700","71800","111800","17500","2200","3300","10000","0","4500","1600","0","0","3400","0","0","11900","3600","0","0","1900","4800","0","7500","7700","0","3300","5100","7900","3600","14900","25700","3900","0","4500","9600","2800","12600","27600","3600","9300","21200","22200","3500","20500","45700","7900"
2020,"Cumbria","LSIP","11600","41400","44900","16300","51700","109100","10400","0","0","0","0","4700","0","2300","0","0","0","0","3400","4300","0","0","0","0","0","7600","9600","0","0","3700","6100","0","9300","25300","0","0","7200","8500","0","7100","24700","0","8500","20000","17200","4600","14300","40700","2700"
2020,"Derbyshire and Nottinghamshire","LSIP","83000","140500","238900","39600","255500","523400","77000","9500","6400","45200","0","9600","0","0","1500","0","22700","0","37300","32100","1300","4100","6600","10300","1300","19300","61500","1200","4400","15400","27900","2800","42500","126100","12800","3800","18500","37900","1700","42100","123700","6400","29900","59300","68900","10500","69500","164300","29400"
2020,"Dorset","LSIP","31900","76800","150600","30100","172000","385400","41600","4600","2200","39300","0","11800","0","0","2100","0","6500","0","26000","20500","1800","0","1900","4900","900","21200","37300","1800","3300","6900","15600","3200","36100","83000","10100","2400","14600","22100","7700","27300","103400","6100","12300","39200","52000","12000","36900","136200","11000"
2020,"Enterprise M3 LEP (including all of Surrey)","LSIP","31200","61500","97600","8300","92900","388100","35600","1600","0","20900","0","3500","0","0","0","0","0","0","8800","18600","1800","0","0","0","0","7100","27800","0","0","0","0","0","5800","101700","0","0","6600","16200","0","13500","106100","2100","8100","24500","34000","1900","23200","122600","10900"
2020,"Essex, Southend-on-Sea and Thurrock","LSIP","56700","149300","213000","31700","206300","387300","60100","4100","4100","32000","0","10600","0","0","0","8000","4600","0","24900","26700","0","600","5000","16200","0","8500","43900","600","5100","21200","33500","900","46500","99900","8600","5000","28100","35500","1100","37900","102200","6800","22700","63400","76100","10400","48600","104000","23500"
2020,"Gloucestershire","LSIP","21100","38900","56400","8700","65500","171400","16300","1800","0","11300","0","1000","0","0","2200","0","4000","0","9300","7600","0","0","0","0","0","2000","18900","0","0","7600","4300","0","9500","40100","1600","1200","4300","11400","0","11100","39600","3200","8600","16100","16900","2300","20200","61300","3700"
2020,"Greater Lincolnshire","LSIP","48500","74600","134900","18900","129900","203100","44200","5800","2800","21300","0","5700","0","0","0","0","6700","800","19200","11800","1300","0","2500","8100","0","13200","18800","0","6700","8100","25600","700","27300","40300","4800","3000","7600","23900","0","14500","44800","6900","18100","36300","41800","9000","35100","75500","17400"
2020,"Greater London","LSIP","317400","368800","603100","50100","722100","3587600","431900","42500","23800","168100","0","78100","0","0","4100","4500","29700","2400","160300","265900","5000","0","13800","18500","0","76900","563100","15600","39200","50700","58800","1200","123300","1208600","103000","56200","66200","100700","1700","102300","800400","123400","111300","142700","161700","9400","151400","740800","131700"
2020,"Greater Manchester","LSIP","137600","198800","284300","57200","301800","699600","104900","19000","21800","50800","0","27000","0","1200","3600","10300","31900","0","64800","54600","2000","3400","11500","21500","1500","39300","115500","7200","19000","36600","48500","7800","64200","193400","28300","28300","35600","46400","10100","50300","158500","17700","56900","77200","84200","26200","56300","174900","35800"
2020,"Heart of the South-West","LSIP","53700","116800","161000","44700","208600","368700","49500","7100","5300","26500","0","11900","0","0","1400","4700","8700","1800","32600","24200","1800","0","2300","2800","0","29100","45300","0","2200","11500","20300","2300","29500","83500","3500","2600","11900","21800","3600","26800","86800","6300","22800","54300","53900","15700","49800","116900","17200"
2020,"Hertfordshire","LSIP","33700","71100","122200","18000","103400","351700","41200","1000","3000","19900","0","6600","0","0","0","1100","1300","0","12100","24400","0","0","0","3800","0","3000","36600","2700","0","7700","17900","0","10700","101600","2300","0","8700","14900","0","20000","92900","5900","9800","29800","41100","3500","25900","93100","13700"
2020,"Hull and East Yorkshire","LSIP","27500","47100","67700","12700","65900","119400","19200","4300","2800","10600","0","3000","0","0","0","1700","8600","1200","10700","7700","0","2500","2400","5500","0","10400","15900","0","3600","8200","9600","1100","12500","28600","4500","4200","10200","13100","1500","12000","29400","2100","11500","20000","20400","6700","17400","36900","9200"
2020,"Kent and Medway","LSIP","69600","121200","196200","27700","200800","448000","47600","3100","4800","34600","0","10700","0","0","0","1600","10900","0","25300","27200","0","0","3000","4000","0","21200","43300","0","7500","12900","20200","0","44100","105900","2900","1100","21300","33600","1700","37800","110400","5900","33300","50300","57700","13500","37800","150400","13200"
2020,"Lancashire","LSIP","68100","95200","169600","24500","162500","320300","44000","700","3700","35100","0","2600","0","0","0","1400","4500","0","20200","24400","0","700","1300","2800","0","11400","31200","0","6200","5400","22400","700","28200","73800","5300","7900","17500","28700","0","23400","66600","5400","23400","40500","49800","5500","46100","109200","7600"
2020,"Leicester and Leicestershire","LSIP","49200","66900","82900","14200","122900","263800","52200","3900","4600","19100","0","7500","0","0","0","0","4400","0","13600","24400","3700","1600","2700","2400","0","10900","30300","7400","7500","5000","9700","0","24300","64100","11300","8300","15100","13500","0","17100","63600","9700","13900","24400","24000","7400","30000","77400","13600"
2020,"Liverpool City Region","LSIP","91400","90900","167200","28700","165900","364300","53500","10300","4700","31800","0","12400","700","0","2100","6400","12500","0","36600","32800","2800","6100","4300","10900","2100","18900","55000","3300","18300","9300","29100","700","29100","99300","9700","14600","15600","27100","3900","26400","80900","10700","37100","43700","54800","14800","42600","94300","22000"
2020,"Norfolk and Suffolk ","LSIP","62400","130600","164500","33500","184500","333200","48700","7900","4600","22900","0","6100","0","0","0","2100","2400","0","23200","23600","0","0","2900","8400","0","22500","30900","1200","0","12600","35500","4000","34600","74600","6900","3800","17000","29000","0","29600","74100","6000","31600","56800","48400","9400","48600","122400","14600"
2020,"North East","LSIP","61700","79500","148900","25600","137400","221300","37600","10000","6900","20900","0","9800","1200","1100","1500","8700","15000","1900","20100","12600","2600","1200","4500","13800","0","19700","36000","3800","8400","9900","27300","3100","31500","58000","7000","8000","15200","21500","3300","21300","49600","5700","29200","33300","50300","12300","34900","63700","15400"
2020,"North of Tyne","LSIP","35400","58300","81800","16600","86700","202900","26400","4500","5800","12200","0","8300","0","0","2100","1200","8100","0","23700","24700","1100","2200","6000","5700","0","3700","24200","0","6500","5900","14700","0","15900","45300","4600","4100","12500","15000","2100","14300","49000","5700","14300","25500","26400","7700","19900","59100","11000"
2020,"Oxfordshire","LSIP","18900","41300","57800","1900","59300","224600","15100","2800","2900","14300","0","5600","0","0","0","0","3900","0","13700","9800","0","0","0","0","0","2300","27600","0","0","2200","0","0","1900","66900","4400","0","3600","8100","0","10400","56100","1300","7500","16900","18300","1600","15000","61100","1800"
2020,"Solent","LSIP","37800","83200","122300","20600","157800","309100","31800","2000","5200","18900","0","11100","0","0","1300","4400","12100","0","36500","23800","0","0","2600","5700","700","13500","36700","0","3000","8200","13800","0","33100","80700","5200","3200","16400","14800","1600","23500","64100","2600","17300","32800","42100","9100","34600","101100","13600"
2020,"South East Midlands","LSIP","59200","117800","176200","25600","192700","414700","70500","4800","8800","39900","0","13700","0","600","1500","9100","16700","0","38400","19800","1500","2600","2800","11200","0","21600","52300","1700","11300","20900","26700","0","35700","126300","17700","4700","20700","30900","1700","35600","95400","23100","26000","53000","49100","14400","47700","117700","19100"
2020,"South Yorkshire","LSIP","59100","93900","143000","34200","166900","327200","54200","12000","9300","25800","0","11200","0","0","2100","9700","12600","3700","25800","34600","2300","5000","4800","11600","0","22000","48800","6000","9200","12700","22900","6100","31600","82800","13900","9500","14500","22700","2300","27100","74500","11400","17300","41100","46300","14700","49200","83600","15200"
2020,"Stoke-on-Trent and Staffordshire","LSIP","55700","63000","110800","17100","126600","255700","49400","4700","3600","18500","0","5900","0","0","2000","0","2700","0","18100","9300","2200","1800","1600","5000","0","9500","31100","1500","1800","3600","20000","900","23100","54000","8300","8100","9000","11600","900","22500","63700","3200","22100","25300","33500","1800","31500","86600","20900"
2020,"Swindon and Wiltshire","LSIP","21600","50600","85000","14100","78500","163300","18400","2400","3300","15200","0","6800","0","0","800","3700","4200","0","10800","7600","0","0","1200","7400","0","10900","13900","1300","4200","13600","13100","2600","13000","38400","2400","3800","9000","14300","1600","12700","48100","3100","8400","18200","30900","5500","24100","55500","8800"
2020,"Tees Valley","LSIP","34500","44900","73200","16000","83800","135500","20400","4600","4500","12700","0","5300","0","0","0","3300","7800","0","15200","9000","0","800","2000","4600","700","10100","19800","1800","3400","8400","12400","1600","17900","32500","4300","5900","5700","12800","700","14100","32400","2600","15400","19000","22900","8600","21100","41600","8700"
2020,"Thames Valley Berkshire","LSIP","21000","46200","83600","11400","87000","288400","34400","3500","3900","19500","0","8800","0","0","0","3600","5700","700","15100","16300","900","500","1500","5900","0","10400","28600","2200","1700","8100","14000","0","16100","79600","7300","2500","7700","12400","0","14100","83000","10800","8900","18600","25400","5500","22500","80600","9800"
2020,"The Marches","LSIP","20400","44900","68100","12000","79700","150400","26300","3300","4100","11600","0","5700","0","0","0","1800","5000","0","12100","8400","0","1300","3100","7500","0","10800","10000","0","2700","7600","11500","1100","13400","34200","5100","1800","9700","7700","1600","11900","36200","6900","8400","17400","25000","5800","25800","61100","11300"
2020,"West Midlands and Warwickshire","LSIP","202200","227700","358700","51300","389700","800300","148800","23900","24800","73500","0","30500","0","2000","9500","15300","33900","3900","92300","74200","6200","16400","17600","30300","3000","39700","120900","15000","34500","36100","57100","6400","70300","221500","37400","29600","44800","71300","5500","63200","174900","30800","76200","77300","87700","17600","89200","206300","48700"
2020,"West of England and North Somerset","LSIP","27200","69900","106300","20000","133800","357200","29200","5500","6700","24900","0","9700","0","1300","0","7200","12500","0","31800","28300","0","0","5000","8200","2000","15100","48400","0","5400","8700","15800","1900","23300","98900","6000","4100","9400","14900","3800","24900","82900","8100","8400","31400","30000","8500","29000","98300","11200"
2020,"West Yorkshire","LSIP","108900","155500","218700","47100","267200","546300","104900","12500","19000","48100","0","24400","0","0","2100","6400","19800","5000","64400","50100","2500","5200","12700","15800","5400","24700","83400","6700","22400","29300","30800","9600","45500","142600","23800","17900","27000","42200","6400","45600","117400","27400","43500","58700","60400","15000","62200","151500","34800"
2020,"Worcestershire","LSIP","21000","33000","64400","10400","67400","133200","19700","0","1500","9500","0","3300","0","0","0","0","2500","0","10700","8100","0","0","0","1600","0","9100","16000","0","1000","4800","13900","0","9900","28000","0","0","4700","6700","0","8600","31400","2800","4300","14300","20300","2400","19300","46800","6200"
2020,"York and North Yorkshire","LSIP","22600","49200","84600","15200","90600","196600","22700","1600","800","16000","0","5500","0","0","0","0","4700","0","18800","9000","0","700","1600","3300","0","4400","21900","0","1200","4800","9900","0","19700","37100","1100","0","4900","11500","900","14800","42000","6100","7800","23100","26100","7700","15200","78700","6700"
2021,"Brighton and Hove, East Sussex, West Sussex","LSIP","51200","123400","153500","15600","181100","447600","48900","2800","6200","30000","0","4400","0","0","0","3800","4700","0","26700","14000","0","4300","2200","2400","0","13500","30800","0","0","11100","4100","0","31800","106700","6100","1800","17100","16500","900","28500","117100","3700","12500","47100","53700","3500","52600","157200","9900"
2021,"Buckinghamshire ","LSIP","15700","23800","44100","11700","59900","156200","15000","3700","1200","10100","0","7100","0","0","0","0","3300","1800","9900","9600","0","0","0","1500","1600","10300","13900","0","2000","1700","5700","3300","7900","38500","2300","1400","6200","6000","1200","10800","46400","3900","7400","13200","17500","3800","14000","47300","6500"
2021,"Cambridgeshire and Peterborough","LSIP","31600","50200","74500","9100","102100","227900","26100","3000","6500","15000","0","6400","900","0","0","2100","8300","0","10800","12000","0","0","0","2000","0","9200","24900","0","1700","5800","5100","0","21700","58200","3900","2600","5500","12300","0","16800","60800","2100","10800","23000","19900","5500","22400","70200","8900"
2021,"Cheshire and Warrington","LSIP","28100","47700","98000","22400","90700","243400","23600","5600","2600","16500","0","8600","0","0","0","0","2900","0","17100","16600","0","0","0","6800","0","12000","22800","0","3300","7200","14300","1100","16500","59800","5000","3000","12300","19800","4100","15300","53900","7100","10500","21700","35800","8700","21400","89800","8500"
2021,"Cornwall and the Isles of Scilly","LSIP","18100","40100","58000","17700","59500","118400","13900","4600","4300","10800","0","3700","0","0","0","2700","4000","0","12700","13300","0","0","3200","4900","3300","5100","10900","0","0","4600","10100","1400","10100","21900","3500","0","6200","9000","3000","13500","21900","2400","11000","19100","19300","9400","14400","49100","6500"
2021,"Cumbria","LSIP","18400","37300","51900","16200","53400","95300","12000","0","3700","5800","0","4200","0","0","0","0","2700","0","3600","0","0","0","0","1200","0","8600","7300","0","0","0","7500","1500","9200","20400","0","2800","4100","7200","1600","9600","21300","500","10800","16800","16900","8400","14200","40400","2900"
2021,"Derbyshire and Nottinghamshire","LSIP","106500","167100","215200","50400","239000","506100","77300","6200","7000","37600","0","6100","0","1200","2200","9100","24700","0","36100","28200","0","2300","5300","8500","1500","25300","60800","3600","8600","13000","22200","2900","44100","126000","15900","10500","22400","25500","6900","41500","122400","5800","44700","65000","70100","15600","61800","155900","21800"
2021,"Dorset","LSIP","35100","1e+05","136800","36000","166500","368400","44100","6800","4000","23500","0","11500","0","1300","0","8300","11800","0","24200","18500","3400","0","1900","5300","0","18700","40100","1100","2100","6500","14800","5400","28900","90500","7800","1200","19400","19200","5900","27400","91000","10200","15900","42400","53000","15400","44600","124900","10700"
2021,"Enterprise M3 LEP (including all of Surrey)","LSIP","28800","54800","90900","4200","100400","393700","40000","1700","0","21800","0","10400","0","0","0","2000","3700","0","16000","20000","0","0","0","0","0","2400","41100","0","1500","0","9900","0","11100","93000","0","0","8100","3400","0","11600","113100","4700","9000","24900","25200","1100","29700","119000","12900"
2021,"Essex, Southend-on-Sea and Thurrock","LSIP","56100","156500","220700","30400","186500","391400","75400","3300","3600","34700","0","6600","0","0","0","2900","5800","0","23500","24500","0","1800","4100","12800","0","16200","44300","500","2200","19900","23000","900","36400","109100","10500","2300","29400","43400","1200","28400","96200","13500","20700","69500","78000","8600","47600","107800","27200"
2021,"Gloucestershire","LSIP","16100","37700","59400","9300","77200","164100","11300","2700","0","9400","0","10200","0","0","0","2100","1500","0","12600","6100","0","0","0","3200","0","0","17100","0","0","4100","9300","0","12000","40700","1900","1000","5400","10500","0","14600","39000","2200","9300","16700","19400","4900","20700","58400","3100"
2021,"Greater Lincolnshire","LSIP","57400","84400","121200","24600","112900","206000","45600","4700","2900","16700","0","1200","0","0","1000","1000","6500","800","7700","4500","0","0","900","3300","0","12500","16800","1900","8800","4500","10700","2300","22800","52800","6500","1300","12200","19700","700","18600","46100","7800","25400","41700","46100","9600","28300","70500","13900"
2021,"Greater London","LSIP","334100","347100","587500","43300","731100","3603700","451500","45000","13800","180300","0","69100","0","0","0","10900","30500","1800","158500","252300","0","3400","4500","20600","2100","56800","557500","14800","25000","45000","57200","0","118000","1218400","106000","61900","59200","72100","0","111900","801700","141700","125800","121900","161100","15600","159400","749800","137800"
2021,"Greater Manchester","LSIP","148800","171100","303500","49300","310900","698500","102600","19800","17100","59800","0","19600","0","1200","2900","9200","32800","2900","62500","50300","1500","3200","8400","26900","2200","39400","105700","9300","24000","30100","45200","4900","66400","208700","24000","32000","31800","48500","4600","48200","155900","20400","55300","67100","88700","21100","74700","174900","36400"
2021,"Heart of the South-West","LSIP","57100","114300","169000","43500","196300","384600","40800","3900","5100","20500","0","8600","0","0","600","3800","11000","0","28200","20000","0","0","3000","5300","0","26400","41300","0","800","9300","31800","1900","34100","85100","6600","4200","12200","20600","3100","33500","94400","1700","25800","50700","54400","19200","48200","134200","12800"
2021,"Hertfordshire","LSIP","31100","68600","118000","16800","100900","365600","39900","1200","0","21400","0","12100","0","0","2500","0","6500","0","3300","24600","0","0","0","3200","0","2200","33000","4400","0","1100","15100","0","12300","104100","5100","0","10300","12500","0","23900","103100","7100","10500","38600","39400","7100","23300","93300","13600"
2021,"Hull and East Yorkshire","LSIP","32900","42900","64600","17300","71900","117700","12600","3200","3100","8600","0","5200","0","1200","0","0","4900","3200","10700","11100","0","1900","5000","3800","2500","8700","10100","0","7300","8900","10800","2200","15300","26400","0","4400","6800","12400","2500","14100","28100","3400","12500","16900","23900","5600","17900","41600","5700"
2021,"Kent and Medway","LSIP","70900","104500","216700","31100","215500","429900","45300","3600","1800","29300","0","22300","0","0","3100","3200","11800","0","22500","24000","0","0","2800","5600","0","14100","36500","0","6400","8500","29000","2400","36900","111100","3500","2900","12800","40200","1600","33300","100100","3600","24300","46000","66700","14500","54500","144600","14000"
2021,"Lancashire","LSIP","64200","109300","154900","24200","176000","311200","42900","5400","3600","26500","0","2100","0","0","900","800","3600","1100","32900","19500","0","0","6100","2800","0","10200","35700","0","3700","9300","24800","900","29400","76000","2100","2900","11100","26300","0","32900","59300","10300","29900","42500","45800","7000","46100","110700","12000"
2021,"Leicester and Leicestershire","LSIP","53000","55200","108300","17200","127800","253800","35400","5000","4000","17200","0","4000","1800","0","0","2900","6200","0","29400","11300","2500","0","4300","5400","0","4100","37400","0","5200","8400","18100","0","24000","60500","6600","8500","5600","17900","0","20900","67500","7600","16100","22500","30900","5700","29900","67100","10000"
